rank,item,category,index_2025_07,index_2026_07,yoy_pct
1,경유,교통,128.17,155.79,21.55
2,파,식료품·비주류음료,91.70,108.44,18.26
3,보험서비스료,기타 생활서비스,190.29,215.81,13.41
4,휘발유,교통,120.27,135.46,12.63
5,간장,식료품·비주류음료,129.85,142.40,9.66
6,수입쇠고기,식료품·비주류음료,132.49,144.03,8.71
7,하수도료,주거·공공요금,121.96,132.31,8.49
8,쌀,식료품·비주류음료,107.93,116.50,7.94
9,달걀,식료품·비주류음료,144.79,155.63,7.49
10,고등어,식료품·비주류음료,127.18,136.02,6.95
11,부엌용용구,가정용품,120.95,129.03,6.68
12,섬유유연제,가정용품,145.49,154.82,6.41
13,조개,식료품·비주류음료,114.49,121.71,6.31
14,국산쇠고기,식료품·비주류음료,104.43,110.35,5.67
15,가정학습지,교육,117.84,124.33,5.51
16,치약,기타 생활서비스,112.21,118.19,5.33
17,김밥,외식,138.61,144.78,4.45
18,떡,식료품·비주류음료,124.95,130.44,4.39
19,여자하의,의류·신발,119.02,123.83,4.04
20,해장국,외식,129.68,134.90,4.03
21,떡볶이,외식,135.09,140.48,3.99
22,시내버스료,교통,112.72,116.96,3.76
23,짬뽕,외식,129.78,134.38,3.54
24,공동주택관리비,주거·공공요금,126.46,130.91,3.52
25,비빔밥,외식,128.52,133.04,3.52
26,기타육류가공품,식료품·비주류음료,133.09,137.77,3.52
27,된장찌개백반,외식,125.94,130.31,3.47
28,부엌용세제,가정용품,118.79,122.82,3.39
29,냉면,외식,127.83,132.13,3.36
30,햄버거,외식,137.20,141.81,3.36
31,약국조제료,보건,116.03,119.90,3.34
32,칼국수,외식,129.61,133.91,3.32
33,운동화,의류·신발,111.42,115.05,3.26
34,자장면,외식,133.99,138.32,3.23
35,버섯,식료품·비주류음료,102.89,106.19,3.21
36,어묵,식료품·비주류음료,130.83,134.76,3.00
37,이발료,기타 생활서비스,116.68,120.14,2.97
38,목욕료,기타 생활서비스,134.47,138.45,2.96
39,김치찌개백반,외식,127.43,131.17,2.93
40,삼각김밥,식료품·비주류음료,112.95,116.26,2.93
41,사립대학교납입금,교육,104.90,107.92,2.88
42,전문대학납입금,교육,105.64,108.68,2.88
43,햄및베이컨,식료품·비주류음료,122.86,126.33,2.82
44,삼겹살(외식),외식,122.49,125.80,2.70
45,돼지갈비(외식),외식,124.34,127.68,2.69
46,반려동물용품,오락·문화,120.07,123.27,2.67
47,즉석식품,식료품·비주류음료,124.06,127.25,2.57
48,라면,식료품·비주류음료,123.92,126.96,2.45
49,탄산음료,식료품·비주류음료,117.83,120.71,2.44
